individualID,climbID,microchipID,birthID,matingID,individualIdSource,materialOrigin,sex,species,generation,dateBirth,ageDeath,ageDeathUnits,brainWeight,rodentWeight,rodentDiet,bedding,room,waterpH,treatmentDose,treatmentType,stockNumber,genotype,genotypeBackground,individualCommonGenotype,modelSystemName,officialName
11633,13438,,B-915-20,I-470/471,UCI_TMF,UCI_TMF,male,Mouse,N1,11/9/20,4,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
11631,13436,,B-915-20,I-470/471,UCI_TMF,UCI_TMF,male,Mouse,N1,11/9/20,4,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
11622,13427,,B-914-20,I-468/469,UCI_TMF,UCI_TMF,male,Mouse,N1,11/9/20,4,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
11621,13426,,B-914-20,I-468/469,UCI_TMF,UCI_TMF,male,Mouse,N1,11/9/20,4,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
11619,13424,,B-914-20,I-468/469,UCI_TMF,UCI_TMF,male,Mouse,N1,11/9/20,4,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
11611,13416,,B-913-20,I-464/465,UCI_TMF,UCI_TMF,male,Mouse,N1,11/9/20,4,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
11626,13431,,B-914-20,I-468/469,UCI_TMF,UCI_TMF,female,Mouse,N1,11/9/20,4,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
11625,13430,,B-914-20,I-468/469,UCI_TMF,UCI_TMF,female,Mouse,N1,11/9/20,4,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
11617,13422,,B-913-20,I-464/465,UCI_TMF,UCI_TMF,female,Mouse,N1,11/9/20,4,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
11616,13421,,B-913-20,I-464/465,UCI_TMF,UCI_TMF,female,Mouse,N1,11/9/20,4,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
11615,13420,,B-913-20,I-464/465,UCI_TMF,UCI_TMF,female,Mouse,N1,11/9/20,4,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
11447,13248,,B-876-20,I-433/434,UCI_TMF,UCI_TMF,male,Mouse,F3,11/3/20,4,months,,,7% standard,,,,,,,"5XFAD_carrier, Abca7-V1599M_homozygous",C57BL6J,5XFADAbca7-V1599M,,
11428,13229,,B-875-20,I-431/432,UCI_TMF,UCI_TMF,male,Mouse,F3,11/3/20,4,months,,,7% standard,,,,,,,"5XFAD_carrier, Abca7-V1599M_homozygous",C57BL6J,5XFADAbca7-V1599M,,
11425,13226,,B-875-20,I-431/432,UCI_TMF,UCI_TMF,male,Mouse,F3,11/3/20,4,months,,,7% standard,,,,,,,"5XFAD_carrier, Abca7-V1599M_homozygous",C57BL6J,5XFADAbca7-V1599M,,
11424,13225,,B-875-20,I-431/432,UCI_TMF,UCI_TMF,male,Mouse,F3,11/3/20,4,months,,,7% standard,,,,,,,"5XFAD_carrier, Abca7-V1599M_homozygous",C57BL6J,5XFADAbca7-V1599M,,
11445,13246,,B-876-20,I-433/434,UCI_TMF,UCI_TMF,male,Mouse,F3,11/3/20,4,months,,,7% standard,,,,,,,"5XFAD_carrier, Abca7-V1599M_homozygous",C57BL6J,5XFADAbca7-V1599M,,
11490,13291,,B-881-20,I-445/446/447,UCI_TMF,UCI_TMF,male,Mouse,F3,11/3/20,4,months,,,7% standard,,,,,,,"5XFAD_carrier, Abca7-V1599M_homozygous",C57BL6J,5XFADAbca7-V1599M,,
11448,13249,,B-876-20,I-433/434,UCI_TMF,UCI_TMF,female,Mouse,F3,11/3/20,4,months,,,7% standard,,,,,,,"5XFAD_carrier, Abca7-V1599M_homozygous",C57BL6J,5XFADAbca7-V1599M,,
11440,13241,,B-875-20,I-431/432,UCI_TMF,UCI_TMF,female,Mouse,F3,11/3/20,4,months,,,7% standard,,,,,,,"5XFAD_carrier, Abca7-V1599M_homozygous",C57BL6J,5XFADAbca7-V1599M,,
11439,13240,,B-875-20,I-431/432,UCI_TMF,UCI_TMF,female,Mouse,F3,11/3/20,4,months,,,7% standard,,,,,,,"5XFAD_carrier, Abca7-V1599M_homozygous",C57BL6J,5XFADAbca7-V1599M,,
11438,13239,,B-875-20,I-431/432,UCI_TMF,UCI_TMF,female,Mouse,F3,11/3/20,4,months,,,7% standard,,,,,,,"5XFAD_carrier, Abca7-V1599M_homozygous",C57BL6J,5XFADAbca7-V1599M,,
11453,13254,,B-876-20,I-433/434,UCI_TMF,UCI_TMF,female,Mouse,F3,11/3/20,4,months,,,7% standard,,,,,,,"5XFAD_carrier, Abca7-V1599M_homozygous",C57BL6J,5XFADAbca7-V1599M,,
11451,13252,,B-876-20,I-433/434,UCI_TMF,UCI_TMF,female,Mouse,F3,11/3/20,4,months,,,7% standard,,,,,,,"5XFAD_carrier, Abca7-V1599M_homozygous",C57BL6J,5XFADAbca7-V1599M,,
11454,13255,,B-877-20,I-437/438,UCI_TMF,UCI_TMF,male,Mouse,F3,11/3/20,12,months,,,7% standard,,,,,,,"5XFAD_carrier, Abca7-V1599M_homozygous",C57BL6J,5XFADAbca7-V1599M,,
11456,13257,,B-877-20,I-437/438,UCI_TMF,UCI_TMF,male,Mouse,F3,11/3/20,12,months,,,7% standard,,,,,,,"5XFAD_carrier, Abca7-V1599M_homozygous",C57BL6J,5XFADAbca7-V1599M,,
