specimenID,libraryID,assay,platform,RIN,referenceSet,rnaBatch,libraryBatch,sequencingBatch,libraryPrep,libraryPreparationMethod,libraryVersion,isStranded,readStrandOrigin,readLength,runType,totalReads,validBarcodeReads,DV200,,,,,,,,,,,,,,,,,
3882lh,3882lh,rnaSeq,NextSeq500,9.1,GRCm38,,09.03.20,09.03.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,36140968,,,,,,,,,,,,,,,,,,
3883lh,3883lh,rnaSeq,NextSeq500,9.5,GRCm38,,09.03.20,09.03.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,43783048,,,,,,,,,,,,,,,,,,
3884lh,3884lh,rnaSeq,NextSeq500,9.3,GRCm38,,09.03.20,09.03.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,44967042,,,,,,,,,,,,,,,,,,
3894lh,3894lh,rnaSeq,NextSeq500,9.5,GRCm38,,09.03.20,09.03.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,39624914,,,,,,,,,,,,,,,,,,
3895lh,3895lh,rnaSeq,NextSeq500,9,GRCm38,,09.03.20,09.03.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,38935844,,,,,,,,,,,,,,,,,,
3896lh,3896lh,rnaSeq,NextSeq500,8.3,GRCm38,,09.03.20,09.03.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,36670700,,,,,,,,,,,,,,,,,,
3897lh,3897lh,rnaSeq,NextSeq500,9.3,GRCm38,,09.03.20,09.03.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,47985450,,,,,,,,,,,,,,,,,,
3898lh,3898lh,rnaSeq,NextSeq500,9,GRCm38,,09.03.20,09.03.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,37844508,,,,,,,,,,,,,,,,,,
3900lh,3900lh,rnaSeq,NextSeq500,9.4,GRCm38,,09.03.20,09.03.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,24089206,,,,,,,,,,,,,,,,,,
3901lh,3901lh,rnaSeq,NextSeq500,8.5,GRCm38,,09.03.20,09.03.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,52731068,,,,,,,,,,,,,,,,,,
3902lh,3902lh,rnaSeq,NextSeq500,9.5,GRCm38,,09.03.20,09.03.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,38924356,,,,,,,,,,,,,,,,,,
3903lh,3903lh,rnaSeq,NextSeq500,9.2,GRCm38,,09.03.20,09.03.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,56827242,,,,,,,,,,,,,,,,,,
3905lh,3905lh,rnaSeq,NextSeq500,9.4,GRCm38,,09.03.20,09.03.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,54029568,,,,,,,,,,,,,,,,,,
3918lh,3918lh,rnaSeq,NextSeq500,9.4,GRCm38,,09.03.20,09.03.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,51294740,,,,,,,,,,,,,,,,,,
3919lh,3919lh,rnaSeq,NextSeq500,9.5,GRCm38,,09.03.20,09.03.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,57259912,,,,,,,,,,,,,,,,,,
