Component,individualID,climbID,microchipID,birthID,matingID,individualIdSource,materialOrigin,sex,species,generation,dateBirth,ageDeath,ageDeathUnits,brainWeight,rodentWeight,rodentDiet,bedding,room,waterpH,treatmentDose,treatmentType,stockNumber,genotype,genotypeBackground,individualCommonGenotype,modelSystemName,officialName
IndividualAnimalMODEL-ADMetadataTemplate,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7548,8979,,B-73-20,161814,UCI_TMF,UCI_TMF,female,Mouse ,N1,1/19/20,12,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
,7683,9114,,B-78-20,197356,UCI_TMF,UCI_TMF,female,Mouse ,F1,1/25/20,12,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
,7715,9146,,B-86-20,194453,UCI_TMF,UCI_TMF,female,Mouse ,F1,1/30/20,12,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
,7988,9426,,B-155-20,204064,UCI_TMF,UCI_TMF,female,Mouse ,F1,2/23/20,12,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
,7939,9377,,B-144-20,194453,UCI_TMF,UCI_TMF,female,Mouse ,F1,2/20/20,12,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
,7764,9195,,B-105-20,204061,UCI_TMF,UCI_TMF,male,Mouse ,F1,2/4/20,12,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
,7987,9425,,B-155-20,204064,UCI_TMF,UCI_TMF,male,Mouse ,F1,2/23/20,12,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
,8393,9891,,B-253-20,227060,UCI_TMF,UCI_TMF,male,Mouse ,F1,3/25/20,12,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
,8392,9890,,B-253-20,227060,UCI_TMF,UCI_TMF,male,Mouse ,F1,3/25/20,12,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
,TMF20591,13135,,,,UCI_TMF,UCI_TMF,female,Mouse ,N1,8/10/20,4,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
,TMF20724,13148,,,,UCI_TMF,UCI_TMF,female,Mouse ,N1,8/16/20,4,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
,TMF20725,13149,,,,UCI_TMF,UCI_TMF,female,Mouse ,N1,8/16/20,4,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
,TMF20592,13136,,,,UCI_TMF,UCI_TMF,female,Mouse ,N1,8/10/20,4,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
,TMF20556,13127,,,,UCI_TMF,UCI_TMF,male,Mouse ,N1,8/6/20,4,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
,TMF20558,13129,,,,UCI_TMF,UCI_TMF,male,Mouse ,N1,8/6/20,4,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
,TMF20587,13134,,,,UCI_TMF,UCI_TMF,male,Mouse ,N1,8/10/20,4,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
,TMF20590,13131,,,,UCI_TMF,UCI_TMF,male,Mouse ,N1,8/10/20,4,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
,TMF20589,13132,,,,UCI_TMF,UCI_TMF,male,Mouse ,N1,8/10/20,4,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
,4952,6041,,B-297-19,CC2-7,UCI_TMF,UCI_TMF,female,Mouse ,N1,6/17/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC002F1,B6JCC002F1.5XFAD,,
,4915,6004,,B-290-19,CC2-2,UCI_TMF,UCI_TMF,female,Mouse ,N1,6/12/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC002F1,B6JCC002F1.5XFAD,,
,4914,6003,,B-290-19,CC2-2,UCI_TMF,UCI_TMF,female,Mouse ,N1,6/12/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC002F1,B6JCC002F1.5XFAD,,
,4909,5998,,B-296-19,176824,UCI_TMF,UCI_TMF,female,Mouse ,N1,6/12/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC002F1,B6JCC002F1.5XFAD,,
,4907,5996,,B-296-19,176824,UCI_TMF,UCI_TMF,female,Mouse ,N1,6/12/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC002F1,B6JCC002F1.5XFAD,,
,4886,5975,,B-280-19,176820,UCI_TMF,UCI_TMF,female,Mouse ,N1,6/5/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC002F1,B6JCC002F1.5XFAD,,
,4911,6000,,B-290-19,176818,UCI_TMF,UCI_TMF,male,Mouse ,N1,6/12/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC002F1,B6JCC002F1.5XFAD,,
,4899,5988,,B-289-19,176825,UCI_TMF,UCI_TMF,male,Mouse ,N1,6/12/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC002F1,B6JCC002F1.5XFAD,,
,4898,5987,,B-289-19,176825,UCI_TMF,UCI_TMF,male,Mouse ,N1,6/12/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC002F1,B6JCC002F1.5XFAD,,
,4891,5980,,B-288-19,176821,UCI_TMF,UCI_TMF,male,Mouse ,N1,6/12/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC002F1,B6JCC002F1.5XFAD,,
,4863,5952,,B-292-19,176819,UCI_TMF,UCI_TMF,male,Mouse ,N1,6/7/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC002F1,B6JCC002F1.5XFAD,,
,4862,5951,,B-292-19,176819,UCI_TMF,UCI_TMF,male,Mouse ,N1,6/7/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC002F1,B6JCC002F1.5XFAD,,
,4854,5943,,B-283-19,176822,UCI_TMF,UCI_TMF,female,Mouse ,N1,6/5/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC002F1,B6JCC002F1.5XFAD,,
,4858,5947,,B-283-19,176822,UCI_TMF,UCI_TMF,female,Mouse ,N1,6/5/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC002F1,B6JCC002F1.5XFAD,,
,4859,5948,,B-283-19,176822,UCI_TMF,UCI_TMF,female,Mouse ,N1,6/5/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC002F1,B6JCC002F1.5XFAD,,
,4860,5949,,B-283-19,176822,UCI_TMF,UCI_TMF,female,Mouse ,N1,6/5/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC002F1,B6JCC002F1.5XFAD,,
