individualID,climbID,microchipID,birthID,matingID,individualIdSource,materialOrigin,sex,species,generation,dateBirth,ageDeath,ageDeathUnits,brainWeight,rodentWeight,rodentDiet,bedding,room,waterpH,treatmentDose,treatmentType,stockNumber,genotype,genotypeBackground,individualCommonGenotype,modelSystemName,officialName
9733,11314,,B-518-20,214801,UCI_TMF,UCI_TMF,male,Mouse,F2,6/26/20,4,months,,,7% standard,,,,,,,"5XFAD_carrier, Trem2-R47H_NSS_homozygous",C57BL6J,5XFADTrem2-R47H_NSS,,
9732,11313,,B-517-20,I-356,UCI_TMF,UCI_TMF,female,Mouse,F3,6/25/20,4,months,,,7% standard,,,,,,,"5XFAD_carrier, Trem2-R47H_NSS_homozygous",C57BL6J,5XFADTrem2-R47H_NSS,,
9731,11312,,B-517-20,I-356,UCI_TMF,UCI_TMF,female,Mouse,F3,6/25/20,4,months,,,7% standard,,,,,,,Trem2-R47H_NSS_homozygous,C57BL6J,Trem2-R47H_NSS,,
9729,11310,,B-517-20,I-356,UCI_TMF,UCI_TMF,female,Mouse,F3,6/25/20,4,months,,,7% standard,,,,,,,"5XFAD_carrier, Trem2-R47H_NSS_homozygous",C57BL6J,5XFADTrem2-R47H_NSS,,
9728,11309,,B-517-20,I-356,UCI_TMF,UCI_TMF,female,Mouse,F3,6/25/20,4,months,,,7% standard,,,,,,,"5XFAD_carrier, Trem2-R47H_NSS_homozygous",C57BL6J,5XFADTrem2-R47H_NSS,,
9723,11304,,B-516-20,I-354/355,UCI_TMF,UCI_TMF,female,Mouse,F3,6/25/20,4,months,,,7% standard,,,,,,,Trem2-R47H_NSS_homozygous,C57BL6J,Trem2-R47H_NSS,,
9721,11302,,B-515-20,I-352/353,UCI_TMF,UCI_TMF,female,Mouse,F3,6/25/20,4,months,,,7% standard,,,,,,,"5XFAD_carrier, Trem2-R47H_NSS_homozygous",C57BL6J,5XFADTrem2-R47H_NSS,,
9720,11301,,B-515-20,I-352/353,UCI_TMF,UCI_TMF,female,Mouse,F3,6/25/20,4,months,,,7% standard,,,,,,,"5XFAD_carrier, Trem2-R47H_NSS_homozygous",C57BL6J,5XFADTrem2-R47H_NSS,,
9715,11296,,B-514-20,I-350/351,UCI_TMF,UCI_TMF,female,Mouse,F3,6/25/20,4,months,,,7% standard,,,,,,,Trem2-R47H_NSS_homozygous,C57BL6J,Trem2-R47H_NSS,,
9713,11294,,B-514-20,I-350/351,UCI_TMF,UCI_TMF,female,Mouse,F3,6/25/20,4,months,,,7% standard,,,,,,,Trem2-R47H_NSS_homozygous,C57BL6J,Trem2-R47H_NSS,,
9712,11293,,B-514-20,I-350/351,UCI_TMF,UCI_TMF,female,Mouse,F3,6/25/20,4,months,,,7% standard,,,,,,,Trem2-R47H_NSS_homozygous,C57BL6J,Trem2-R47H_NSS,,
9704,11285,,B-514-20,I-350/351,UCI_TMF,UCI_TMF,male,Mouse,F3,6/25/20,4,months,,,7% standard,,,,,,,Trem2-R47H_NSS_homozygous,C57BL6J,Trem2-R47H_NSS,,
9702,11283,,B-514-20,I-350/351,UCI_TMF,UCI_TMF,male,Mouse,F3,6/25/20,4,months,,,7% standard,,,,,,,Trem2-R47H_NSS_homozygous,C57BL6J,Trem2-R47H_NSS,,
9701,11282,,B-514-20,I-350/351,UCI_TMF,UCI_TMF,male,Mouse,F3,6/25/20,4,months,,,7% standard,,,,,,,"5XFAD_carrier, Trem2-R47H_NSS_homozygous",C57BL6J,5XFADTrem2-R47H_NSS,,
9700,11281,,B-514-20,I-350/351,UCI_TMF,UCI_TMF,male,Mouse,F3,6/25/20,4,months,,,7% standard,,,,,,,Trem2-R47H_NSS_homozygous,C57BL6J,Trem2-R47H_NSS,,
9699,11280,,B-514-20,I-350/351,UCI_TMF,UCI_TMF,male,Mouse,F3,6/25/20,4,months,,,7% standard,,,,,,,Trem2-R47H_NSS_homozygous,C57BL6J,Trem2-R47H_NSS,,
9698,11279,,B-514-20,I-350/351,UCI_TMF,UCI_TMF,male,Mouse,F3,6/25/20,4,months,,,7% standard,,,,,,,Trem2-R47H_NSS_homozygous,C57BL6J,Trem2-R47H_NSS,,
