Component,individualID,climbID,microchipID,birthID,matingID,individualIdSource,materialOrigin,sex,species,generation,dateBirth,ageDeath,ageDeathUnits,brainWeight,rodentWeight,rodentDiet,bedding,room,waterpH,treatmentDose,treatmentType,stockNumber,genotype,genotypeBackground,modelSystemName,strainOfficialName,specimenID,specimenIdSource,organ,tissue,BrodmannArea,sampleStatus,tissueWeight,tissueVolume,nucleicAcidSource,cellType,fastingState,isPostMortem,samplingAge,samplingAgeUnits,visitNumber,assay
IndividualAnimalMODEL-ADMetadataTemplate,9733,11314,NA,B-518-20,214801,UCI_TMF,UCI_TMF,male,Mouse,F2,6/26/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,"5XFAD_carrier, Trem2-R47H_NSS_homozygous",C57BL6J,NA,NA,9733lh,UCI_TMF,brain,hippocampus,NA,frozen,NA,NA,bulk cell,NA,NA,TRUE,4,NA,NA,rnaSeq
IndividualAnimalMODEL-ADMetadataTemplate,9733,11314,NA,B-518-20,214801,UCI_TMF,UCI_TMF,male,Mouse,F2,6/26/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,"5XFAD_carrier, Trem2-R47H_NSS_homozygous",C57BL6J,NA,NA,9733lc,UCI_TMF,brain,cerebral cortex,NA,NA,NA,NA,NA,NA,NA,TRUE,4,NA,NA,ELISA
IndividualAnimalMODEL-ADMetadataTemplate,9733,11314,NA,B-518-20,214801,UCI_TMF,UCI_TMF,male,Mouse,F2,6/26/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,"5XFAD_carrier, Trem2-R47H_NSS_homozygous",C57BL6J,NA,NA,9733p,UCI_TMF,blood,plasma,NA,NA,NA,NA,NA,NA,NA,TRUE,4,NA,NA,ELISA
IndividualAnimalMODEL-ADMetadataTemplate,9733,11314,NA,B-518-20,214801,UCI_TMF,UCI_TMF,male,Mouse,F2,6/26/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,"5XFAD_carrier, Trem2-R47H_NSS_homozygous",C57BL6J,NA,NA,9733lhif,UCI_TMF,brain,hippocampus,NA,NA,NA,NA,NA,NA,NA,TRUE,4,NA,NA,ELISA
IndividualAnimalMODEL-ADMetadataTemplate,9733,11314,NA,B-518-20,214801,UCI_TMF,UCI_TMF,male,Mouse,F2,6/26/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,"5XFAD_carrier, Trem2-R47H_NSS_homozygous",C57BL6J,NA,NA,9733lcif,UCI_TMF,brain,cerebral cortex,NA,NA,NA,NA,NA,NA,NA,TRUE,4,NA,NA,ELISA
IndividualAnimalMODEL-ADMetadataTemplate,9733,11314,NA,B-518-20,214801,UCI_TMF,UCI_TMF,male,Mouse,F2,6/26/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,"5XFAD_carrier, Trem2-R47H_NSS_homozygous",C57BL6J,NA,NA,9733lcsf,UCI_TMF,brain,cerebral cortex,NA,NA,NA,NA,NA,NA,NA,TRUE,4,NA,NA,ELISA
IndividualAnimalMODEL-ADMetadataTemplate,9733,11314,NA,B-518-20,214801,UCI_TMF,UCI_TMF,male,Mouse,F2,6/26/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,"5XFAD_carrier, Trem2-R47H_NSS_homozygous",C57BL6J,NA,NA,9733lhsf,UCI_TMF,brain,hippocampus,NA,NA,NA,NA,NA,NA,NA,TRUE,4,NA,NA,ELISA
IndividualAnimalMODEL-ADMetadataTemplate,9733,11314,NA,B-518-20,214801,UCI_TMF,UCI_TMF,male,Mouse,F2,6/26/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,"5XFAD_carrier, Trem2-R47H_NSS_homozygous",C57BL6J,NA,NA,Pool-D,UCI_TMF,brain,cerebral cortex,NA,formalin-fixed,NA,NA,NA,NA,NA,TRUE,4,NA,NA,immunofluorescence
IndividualAnimalMODEL-ADMetadataTemplate,9733,11314,NA,B-518-20,214801,UCI_TMF,UCI_TMF,male,Mouse,F2,6/26/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,"5XFAD_carrier, Trem2-R47H_NSS_homozygous",C57BL6J,NA,NA,Pool-T,UCI_TMF,brain,hippocampus,NA,formalin-fixed,NA,NA,NA,NA,NA,TRUE,4,NA,NA,immunofluorescence
IndividualAnimalMODEL-ADMetadataTemplate,9732,11313,NA,B-517-20,I-356,UCI_TMF,UCI_TMF,female,Mouse,F3,6/25/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,"5XFAD_carrier, Trem2-R47H_NSS_homozygous",C57BL6J,NA,NA,9732lh,UCI_TMF,brain,hippocampus,NA,frozen,NA,NA,bulk cell,NA,NA,TRUE,4,NA,NA,rnaSeq
