individualID,specimenID,specimenIdSource,organ,tissue,BrodmannArea,sampleStatus,tissueWeight,tissueVolume,nucleicAcidSource,cellType,fastingState,isPostMortem,samplingAge,samplingAgeUnits,visitNumber,assay
7548,7548lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
7683,7683lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
7715,7715lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
7988,7988lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
7939,7939lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
7764,7764lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
7987,7987lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
8393,8393lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
8392,8392lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
TMF20591,TMF20591lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
TMF20724,TMF20724lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
TMF20725,TMF20725lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
TMF20592,TMF20592lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
TMF20556,TMF20556lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
TMF20558,TMF20558lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
TMF20587,TMF20587lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
TMF20590,TMF20590lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
TMF20589,TMF20589lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
4952,4952lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
4915,4915lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
4914,4914lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
4909,4909lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
4907,4907lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
4886,4886lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
4911,4911lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
4899,4899lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
4898,4898lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
4891,4891lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
4863,4863lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
4862,4862lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
4854,4854lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
4858,4858lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
4859,4859lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
4860,4860lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
4867,4867lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
4882,4882lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
4841,4841lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
4846,4846lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
4850,4850lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
4852,4852lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
4853,4853lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
4880,4880lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
3180,3180lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
3188,3188lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
3189,3189lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
3205,3205lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
3206,3206lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
3196,3196lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
3195,3195lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
3194,3194lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
3202,3202lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
3200,3200lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
3176,3176lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
3131,3131lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
3132,3132lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
3156,3156lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
3157,3157lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
3166,3166lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
3167,3167lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
3127,3127lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
3128,3128lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
3129,3129lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
3130,3130lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
3144,3144lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
3145,3145lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
4038,4038lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
4039,4039lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
4040,4040lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
3901,3901lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
3921,3921lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
4034,4034lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
4035,4035lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
3918,3918lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
3903,3903lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
3882,3882lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
3791,3791lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
3792,3792lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
3794,3794lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
3868,3868lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
3869,3869lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
3878,3878lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
3779,3779lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
3787,3787lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
3863,3863lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
3864,3864lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
3866,3866lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
5029,5029lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
5028,5028lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
5026,5026lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
5025,5025lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
5010,5010lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
5009,5009lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
5116,5116lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
5114,5114lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
5113,5113lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
5059,5059lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
5015,5015lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
5013,5013lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
5045,5045lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
5043,5043lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
5034,5034lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
5036,5036lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
5037,5037lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
4993,4993lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
4992,4992lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
4991,4991lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
5021,5021lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
5022,5022lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
5039,5039lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
5041,5041lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
5032,5032lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
3121,3121lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
3120,3120lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
3119,3119lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
3116,3116lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
3115,3115lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
3114,3114lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
3111,3111lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
3117,3117lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
3113,3113lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
3109,3109lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
3104,3104lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
3103,3103lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
3075,3075lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
3076,3076lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
3077,3077lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
3079,3079lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
3101,3101lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
3080,3080lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
3095,3095lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
3096,3096lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
3098,3098lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
3099,3099lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
3100,3100lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
7549,7549lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
7580,7580lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
7684,7684lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
8062,8062lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
8123,8123lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
7772,7772lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
8041,8041lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
8350,8350lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
8382,8382lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,12,months,,ELISA
TMF20554,TMF20554lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
TMF20557,TMF20557lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
TMF20559,TMF20559lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
TMF20588,TMF20588lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
TMF20728,TMF20728lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
TMF20738,TMF20738lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
TMF20593,TMF20593lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
TMF20682,TMF20682lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
