individualID,specimenID,specimenIdSource,organ,tissue,BrodmannArea,sampleStatus,tissueWeight,tissueVolume,nucleicAcidSource,cellType,fastingState,isPostMortem,samplingAge,samplingAgeUnits,visitNumber,assay
11633,11633lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11631,11631lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11622,11622lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11621,11621lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11619,11619lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11611,11611lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11626,11626lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11625,11625lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11617,11617lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11616,11616lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11615,11615lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11447,11447lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11428,11428lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11425,11425lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11424,11424lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11445,11445lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11490,11490lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11448,11448lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11440,11440lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11439,11439lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11438,11438lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11453,11453lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11451,11451lcif,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11633,11633lhif,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11631,11631lhif,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11622,11622lhif,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11621,11621lhif,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11619,11619lhif,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11611,11611lhif,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11626,11626lhif,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11625,11625lhif,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11617,11617lhif,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11616,11616lhif,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11615,11615lhif,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11447,11447lhif,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11428,11428lhif,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11425,11425lhif,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11424,11424lhif,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11445,11445lhif,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11490,11490lhif,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11448,11448lhif,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11440,11440lhif,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11439,11439lhif,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11438,11438lhif,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11453,11453lhif,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11451,11451lhif,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11633,11633lcsf,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11631,11631lcsf,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11622,11622lcsf,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11621,11621lcsf,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11619,11619lcsf,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11611,11611lcsf,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11626,11626lcsf,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11625,11625lcsf,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11617,11617lcsf,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11616,11616lcsf,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11615,11615lcsf,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11447,11447lcsf,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11428,11428lcsf,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11425,11425lcsf,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11424,11424lcsf,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11445,11445lcsf,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11490,11490lcsf,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11448,11448lcsf,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11440,11440lcsf,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11439,11439lcsf,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11438,11438lcsf,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11453,11453lcsf,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11451,11451lcsf,UCI_TMF,brain,cerebral cortex,,,,,,,,TRUE,4,months,,ELISA
11633,11633lhsf,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11631,11631lhsf,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11622,11622lhsf,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11621,11621lhsf,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11619,11619lhsf,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11611,11611lhsf,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11626,11626lhsf,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11625,11625lhsf,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11617,11617lhsf,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11616,11616lhsf,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11615,11615lhsf,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11447,11447lhsf,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11428,11428lhsf,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11425,11425lhsf,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11424,11424lhsf,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11445,11445lhsf,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11490,11490lhsf,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11448,11448lhsf,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
11440,11440lhsf,UCI_TMF,brain,hippocampus,,,,,,,,TRUE,4,months,,ELISA
